id,slug,question,description,event_slug,active,closed,category,volume,liquidity,end_date_iso,sync_timestamp
12,will-joe-biden-get-coronavirus-before-the-election,Will Joe Biden get Coronavirus before the election?,"This is a market on if presidential candidate Joe Biden will test positive for COVID-19 before November 3rd, 2020. This will be defined as Joe publicly announcing - via any medium, including social media - that he has tested positive for COVID-19, or some variation of that statement. If it is in reference to antibodies, or he doesn’t publicly acknowledge it, the market will resolve to No.
In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).",,True,True,US-current-affairs,32257.445115,0,,2026-01-12T19:03:16.730103
17,will-airbnb-begin-publicly-trading-before-jan-1-2021,"Will Airbnb begin publicly trading before Jan 1, 2021?","This market is on whether or not Airbnb will be a publicly traded company by January 1, 2021. This market will resolve to Yes if Airbnb starts publicly trading on NASDAQ or NYSE before January 1st 2021, regardless of if they list via IPO, direct listing, or some other method. If they are not listed and publicly trading on one of those 2 stock exchanges, the market will resolve to ""No"". In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Tech,89665.252158,0,,2026-01-12T19:03:16.730107
18,will-a-new-supreme-court-justice-be-confirmed-before-nov-3rd-2020,"Will a new Supreme Court Justice be confirmed before Nov 3rd, 2020?","This is a market on whether or not a new Supreme Court Justice will be both nominated and confirmed before Nov 3rd, 2020. Nominated and Confirmed, in the context of the Supreme Court, are defined here: https://en.wikipedia.org/wiki/Appointment_and_confirmation_to_the_Supreme_Court_of_the_United_States. If a Supreme Court Justice is Nominated but not Confirmed before the election, the market will resolve to “No”. RIP RBG. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).",,True,True,US-current-affairs,43279.456005,0,,2026-01-12T19:03:16.730110
19,will-kim-kardashian-and-kanye-west-divorce-before-jan-1-2021,"Will Kim Kardashian and Kanye West divorce before Jan 1, 2021?","This is a market on whether Kanye West and Kim Kardashian will officially file for a divorce before January 1st 2021. Divorce can be defined empirically as either an official announcement direct from either Kim or Kanye, or an official filing of divorce, including but not limited to certified copies of divorce decrees available from the Superior Court in the county where the decree was granted. This market will resolve ""Yes"" if the aforementioned conditions are met and ""No"" otherwise. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Pop-Culture ,22067.475119,0.179651,,2026-01-12T19:03:16.730112
20,will-coinbase-begin-publicly-trading-before-jan-1-2021,"Will Coinbase begin publicly trading before Jan 1, 2021?","This market is on whether Coinbase will be a publicly traded company by January 1, 2021. This market will resolve to Yes if Coinbase starts publicly trading on NASDAQ or NYSE before January 1st 2021. Regardless of if they list via IPO or direct listing. If they are not listed and publicly trading on one of those 2 exchanges, the market will resolve to ""No"". In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Crypto,116803.377183,0.367501,,2026-01-12T19:03:16.730114
36,what-will-the-price-of-bitcoin-be-on-november-4th-2020,"What will the price of Bitcoin be on November 4th, 2020?","This is a scalar market on what the USD price of Bitcoin will be on November 4th, 2020, according to Coingecko. The lower bound for this market is $5,000/BTC, and the upper bound is $15,000/BTC - you can use the calculator to the right (underneath the Buy modal) to calculate how each Long or Short share price corresponds with the BTC price. The market will be settled according to Coingecko’s BTC page at roughly 12pm EST on November 4th, 2020. Long and Short shares will settle proportional to the final value, in the case of the final value being between these bounds, but if the final value exceeds either the upper or lower bound, the price of each Outcome Share is capped at $1. Refer to calculator for share price and BTC price correlation. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Crypto,59755.804763,0,,2026-01-12T19:03:16.730116
40,will-trump-win-the-2020-us-presidential-election,Will Trump win the 2020 U.S. presidential election?,"This is a market on if Donald Trump will win the 2020 US presidential election. This is not about the popular vote - it's particularly about if Trump will win the election, as defined by the electoral college system, and set to still be president come next term. Market will resolve to “Yes” if Donald Trump receives the required number of electoral votes to win the presidency, whenever it is called. If Joe Biden or any other candidate is declared the winner of this election officially, this market will resolve to “No”. Note: If the election winner is not declared on election night, this market will not resolve until a winner is confirmed.The resolution source will be https://www.cnn.com/election/2020 CNN's 2020 Election page: Additional note: in the event of conflicting sources between CNN and WSJ (https://www.wsj.com/livecoverage/campaign-wire-election-2020) or Associated Press (https://apnews.com/hub/election-2020), the market will only be resolved once there is a definitive winner. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,US-current-affairs,10802601.987023,68.283267,,2026-01-12T19:03:16.730118
42,will-there-be-an-emergency-use-authorization-granted-for-a-covid-19-vaccine-prior-to-nov-3,Will there be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine prior to Nov 3 2020?,"This market is on if there will be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine before November 3rd, 2020. ""The Emergency Use Authorization (EUA) authority allows FDA to help strengthen the nation’s public health protections against CBRN threats by facilitating the availability and use of MCMs needed during public health emergencies."" The market will resolve to ""Yes"" if an EUA is granted for a COVID-19 vaccine, according to this link: https://www.fda.gov/emergency-preparedness-and-response/mcm-legal-regulatory-and-policy-framework/emergency-use-authorization#covid19euas, before November 3rd, 2020 (election day). Even if the vaccine is not widely distributed by that date, if an EUA is granted, the market will resolve to ""Yes"". If no EUA is granted for a vaccine by November 3rd, 2020, the market will resolve “No”. Note, this market is only for vaccines, not general treatment. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Coronavirus,21881.05833,0,,2026-01-12T19:03:16.730120
43,what-will-the-total-value-locked-tvl-in-defi-be-at-the-end-of-2020-according-to-defipulse,"What will the total value locked (TVL) in DeFi be at the end of 2020, according to DefiPulse?","This is a scalar market on what the TVL metric on [Defipulse.com] (http://defipulse.com/) will be on December 31st, 2020. TVL stands for the Total Value of cryptoassets Locked as collateral in the most prominent defi protocols and applications, and is the most prolific metric in regards to tracking the growth and success of DeFi. In the past few months, the TVL has been rapidly growing, showing no signs of slowing down. This market forecasts the perceived growth of DeFi by the year's end. The lower bound of this market is $8 Billion, and upper bound is $20 Billion - the market will resolve proportionally to the bounds according to what the TVL is at 12pm EST, December 31st, 2020. Reference the calculator and Buy modal to the right to better understand how the prices of outcome shares correlates to the bounds of this scalar market. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Crypto,46944.579746,4.601742,,2026-01-12T19:03:16.730123
44,what-will-the-usd-price-of-filecoin-fil-be-on-november-17th-2020,"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?","This is a scalar market on what the USD price of 1 Filecoin ($FIL) will be on November 17th, 2020, at 2pm EST, according to Coingecko. The lower bound for this market is $10/FIL, and the upper bound is $50/FIL - you can use the calculator to the right (underneath the Buy modal) to calculate how each Long or Short share price corresponds with the FIL price. Long and Short shares will settle proportionally in the case of the final value being between these bounds, but if the final value exceeds either the upper or lower bound, the price of each Outcome Share is capped at $1. Refer to calculator. In the event of ambiguity in terms of the market outcome, the market will be resolved at the sole discretion of the Markets Integrity Committee (MIC).
",,True,True,Crypto,69947.098531,190.134841,,2026-01-12T19:03:16.730125
